5050,Brooklyn,10.95,NY,11255,Kings,0.08375
5051,Brooklyn,10.95,NY,11256,Kings,0.08375
5052,Flushing,7.5,NY,11351,Queens,0.08375
5053,Flushing,7.5,NY,11352,Queens,0.08375
5054,Flushing,7.5,NY,11353,Queens,0.08375
5055,Flushing,7.5,NY,11354,Queens,0.08375
5056,Flushing,7.5,NY,11355,Queens,0.08375
5057,College Point,7.5,NY,11356,Queens,0.08375
5058,Flushing,7.5,NY,11356,Queens,0.08375
5059,Whitestone,7.5,NY,11357,Queens,0.08375
5060,Beechurst,7.5,NY,11357,Queens,0.08375
5061,Flushing,7.5,NY,11357,Queens,0.08375
5062,Malba,7.5,NY,11357,Queens,0.08375
5063,Flushing,7.5,NY,11358,Queens,0.08375
5064,Fort Totten,7.5,NY,11359,Queens,0.08375
5065,Flushing,7.5,NY,11359,Queens,0.08375
5066,Bayside,7.5,NY,11360,Queens,0.08375
5067,Flushing,7.5,NY,11360,Queens,0.08375
5068,Bayside,7.5,NY,11361,Queens,0.08375
5069,Flushing,7.5,NY,11361,Queens,0.08375
5070,Little Neck,7.5,NY,11362,Queens,0.08375
5071,Flushing,7.5,NY,11362,Queens,0.08375
5072,Douglaston,7.5,NY,11362,Queens,0.08375
5073,Little Neck,7.5,NY,11363,Queens,0.08375
5074,Douglaston,7.5,NY,11363,Queens,0.08375
5075,Flushing,7.5,NY,11363,Queens,0.08375
5076,Flushing,7.5,NY,11364,Queens,0.08375
5077,Oakland Gardens,7.5,NY,11364,Queens,0.08375
5078,Fresh Meadows,7.5,NY,11365,Queens,0.08375
5079,Flushing,7.5,NY,11365,Queens,0.08375
5080,Flushing,7.5,NY,11366,Queens,0.08375
5081,Fresh Meadows,7.5,NY,11366,Queens,0.08375
5082,Flushing,7.5,NY,11367,Queens,0.08375
5083,Kew Garden Hills,7.5,NY,11367,Queens,0.08375
5084,Corona,7.5,NY,11368,Queens,0.08375
5085,Flushing,7.5,NY,11368,Queens,0.08375
5086,East Elmhurst,7.5,NY,11369,Queens,0.08375
5087,Flushing,7.5,NY,11369,Queens,0.08375
5088,East Elmhurst,7.5,NY,11370,Queens,0.08375
5089,Flushing,7.5,NY,11370,Queens,0.08375
5090,Flushing,7.5,NY,11371,Queens,0.08375
5091,Jackson Heights,7.5,NY,11372,Queens,0.08375
5092,Flushing,7.5,NY,11372,Queens,0.08375
5093,Elmhurst,7.5,NY,11373,Queens,0.08375
5094,Flushing,7.5,NY,11373,Queens,0.08375
5095,Rego Park,7.5,NY,11374,Queens,0.08375
5096,Flushing,7.5,NY,11374,Queens,0.08375
5097,Forest Hills,7.5,NY,11375,Queens,0.08375
5098,Flushing,7.5,NY,11375,Queens,0.08375
5099,Woodside,7.5,NY,11377,Queens,0.08375
5100,Flushing,7.5,NY,11377,Queens,0.08375
5101,Maspeth,7.5,NY,11378,Queens,0.08375
5102,Flushing,7.5,NY,11378,Queens,0.08375
5103,Middle Village,7.5,NY,11379,Queens,0.08375
5104,Flushing,7.5,NY,11379,Queens,0.08375
5105,Flushing,7.5,NY,11380,Queens,0.08375
5106,Flushing,7.5,NY,11381,Queens,0.08375
5107,Ridgewood,7.5,NY,11385,Queens,0.08375
5108,Glendale,7.5,NY,11385,Queens,0.08375
5109,Flushing,7.5,NY,11385,Queens,0.08375
5110,Flushing,7.5,NY,11386,Queens,0.08375
5111,Flushing,7.5,NY,11388,Queens,0.08375
5112,Flushing,7.5,NY,11390,Queens,0.08375
5113,Jamaica,7.5,NY,11402,Queens,0.08375
5114,Jamaica,7.5,NY,11405,Queens,0.08375
5115,Jamaica,7.5,NY,11406,Queens,0.08375
5116,Jamaica,7.5,NY,11407,Queens,0.08375
5117,Jamaica,7.5,NY,11408,Queens,0.08375
5118,Jamaica,7.5,NY,11410,Queens,0.08375
5119,Jamaica,7.5,NY,11411,Queens,0.08375
5120,Saint Albans,7.5,NY,11412,Queens,0.08375
5121,Jamaica,7.5,NY,11412,Queens,0.08375
5122,Springfield Gardens,7.5,NY,11412,Queens,0.08375
5123,Springfield Gardens,7.5,NY,11413,Queens,0.08375
5124,Laurelton,7.5,NY,11413,Queens,0.08375
5125,Jamaica,7.5,NY,11413,Queens,0.08375
5126,Howard Beach,7.5,NY,11414,Queens,0.08375
5127,Jamaica,7.5,NY,11414,Queens,0.08375
5128,Kew Gardens,7.5,NY,11415,Queens,0.08375
5129,Jamaica,7.5,NY,11415,Queens,0.08375
5130,Ozone Park,7.5,NY,11416,Queens,0.08375
5131,Jamaica,7.5,NY,11416,Queens,0.08375
5132,Ozone Park,7.5,NY,11417,Queens,0.08375
5133,Jamaica,7.5,NY,11417,Queens,0.08375
5134,Richmond Hill,7.5,NY,11418,Queens,0.08375
5135,Jamaica,7.5,NY,11418,Queens,0.08375
5136,South Richmond Hill,7.5,NY,11419,Queens,0.08375
5137,Jamaica,7.5,NY,11419,Queens,0.08375
5138,South Ozone Park,7.5,NY,11420,Queens,0.08375
5139,Ozone Park,7.5,NY,11420,Queens,0.08375
5140,Jamaica,7.5,NY,11420,Queens,0.08375
5141,Woodhaven,7.5,NY,11421,Queens,0.08375
5142,Jamaica,7.5,NY,11421,Queens,0.08375
5143,Rosedale,7.5,NY,11422,Queens,0.08375
5144,Jamaica,7.5,NY,11422,Queens,0.08375
5145,Hollis,7.5,NY,11423,Queens,0.08375
5146,Jamaica,7.5,NY,11423,Queens,0.08375
5147,Jamaica,7.5,NY,11424,Queens,0.08375
5148,Jamaica,7.5,NY,11425,Queens,0.08375
5149,Bellerose,5,NY,11426,Queens,0.08375
5150,Jamaica,7.5,NY,11426,Queens,0.08375
5151,Queens Village,7.5,NY,11427,Queens,0.08375
5152,Jamaica,7.5,NY,11427,Queens,0.08375
5153,Queens Village,7.5,NY,11428,Queens,0.08375
5154,Jamaica,7.5,NY,11428,Queens,0.08375
5155,Queens Village,7.5,NY,11429,Queens,0.08375
5156,Jamaica,7.5,NY,11429,Queens,0.08375
5157,Jamaica,7.5,NY,11430,Queens,0.08375
5158,Jamaica,7.5,NY,11431,Queens,0.08375
5159,Jamaica,7.5,NY,11432,Queens,0.08375
5160,Jamaica,7.5,NY,11433,Queens,0.08375
5161,Jamaica,7.5,NY,11434,Queens,0.08375
5162,Jamaica,7.5,NY,11435,Queens,0.08375
5163,Briarwood,7.5,NY,11435,Queens,0.08375
5164,Jamaica,7.5,NY,11436,Queens,0.08375
5165,Jamaica,7.5,NY,11439,Queens,0.08375
5166,Jamaica,7.5,NY,11440,Queens,0.08375
5167,Jamaica,7.5,NY,11441,Queens,0.08375
5168,Jamaica,7.5,NY,11446,Queens,0.08375
5169,Jamaica,7.5,NY,11447,Queens,0.08375
5170,Jamaica,7.5,NY,11450,Queens,0.08375
5171,Jamaica,7.5,NY,11451,Queens,0.08375
5172,Jamaica,7.5,NY,11452,Queens,0.08375
5173,Jamaica,7.5,NY,11460,Queens,0.08375
5174,Jamaica,7.5,NY,11470,Queens,0.08375
5175,Jamaica,7.5,NY,11472,Queens,0.08375
5176,Jamaica,7.5,NY,11474,Queens,0.08375
5177,Jamaica,7.5,NY,11476,Queens,0.08375
5178,Jamaica,7.5,NY,11478,Queens,0.08375
5179,Jamaica,7.5,NY,11480,Queens,0.08375
5180,Jamaica,7.5,NY,11482,Queens,0.08375
5181,Jamaica,7.5,NY,11484,Queens,0.08375
5182,Jamaica,7.5,NY,11486,Queens,0.08375
5183,Jamaica,7.5,NY,11488,Queens,0.08375
5184,Jamaica,7.5,NY,11499,Queens,0.08375
5185,Mineola,5.95,NY,11501,Nassau,0.08625
5186,Albertson,6.95,NY,11507,Nassau,0.08625
5187,Searingtown,7.95,NY,11507,Nassau,0.08625
5188,Atlantic Beach,9.95,NY,11509,Nassau,0.08625
5189,Baldwin,8.95,NY,11510,Nassau,0.08625
5190,Carle Place,7.5,NY,11514,Nassau,0.08625
5191,Cedarhurst,7.95,NY,11516,Nassau,0.08625
5192,East Rockaway,8.95,NY,11518,Nassau,0.08625
5193,Bay Park,S,NY,11518,Nassau,0.08625
5194,Freeport,7.5,NY,11520,Nassau,0.08625
5195,Garden City,5,NY,11530,Nassau,0.08625
5196,Stewart Manor,5,NY,11530,Nassau,0.08625
51650,Garden City Park,S,NY,11530,nassau,0.08625
5197,Garden City,5,NY,11531,Nassau,0.08625
5198,Garden City,5,NY,11535,Nassau,0.08625
5199,Garden City,5,NY,11536,Nassau,0.08625
5200,Glen Cove,7.95,NY,11542,Nassau,0.08625
5201,Glen Head,7.95,NY,11545,Nassau,0.08625
5202,Old Brookville,7.95,NY,11545,Nassau,0.08625
5203,Muttontown,8.95,NY,11545,Nassau,0.08625
5204,Upper Brookville,8.95,NY,11545,Nassau,0.08625
5205,Brookville,8.5,NY,11545,Nassau,0.08625
5206,Roslyn Harbor,6.95,NY,11545,Nassau,0.08625
5207,Glenwood Landing,8.95,NY,11547,Nassau,0.08625
5208,Greenvale,7.95,NY,11548,Nassau,0.08625
5209,Brookville,8.95,NY,11548,Nassau,0.08625
5210,Old Brookville,7.95,NY,11548,Nassau,0.08625
5211,East Hills,7.5,NY,11548,Nassau,0.08625
5212,Hempstead,6.95,NY,11550,Nassau,0.08625
5213,South Hempstead,7.5,NY,11550,Nassau,0.08625
5214,Hempstead,6.95,NY,11551,Nassau,0.08625
5215,West Hempstead,6.5,NY,11552,Nassau,0.08625
5216,Hempstead,6.95,NY,11552,Nassau,0.08625
5217,Lakeview,6.95,NY,11552,Nassau,0.08625
5218,Uniondale,7.5,NY,11553,Nassau,0.08625
5219,Hempstead,6.95,NY,11553,Nassau,0.08625
5220,East Meadow,7.5,NY,11554,Nassau,0.08625
5221,Hempstead,6.95,NY,11554,Nassau,0.08625
5222,Uniondale,7.5,NY,11555,Nassau,0.08625
5223,Hempstead,6.95,NY,11555,Nassau,0.08625
5224,Uniondale,7.5,NY,11556,Nassau,0.08625
5225,Hewlett,7.95,NY,11557,Nassau,0.08625
5226,Hewlett Harbor,7.5,NY,11557,Nassau,0.08625
5227,Hewlett Bay Park,7.5,NY,11557,Nassau,0.08625
5228,Island Park,7.95,NY,11558,Nassau,0.08625
5229,Lawrence,7.95,NY,11559,Nassau,0.08625
5230,Meadowmere Park,S,NY,11559,Nassau,0.08625
5231,North Lawrence,7.5,NY,11559,Nassau,0.08625
5232,Locust Valley,8.95,NY,11560,Nassau,0.08625
5233,Lattingtown,8.95,NY,11560,Nassau,0.08625
5234,Long Beach,8.95,NY,11561,Nassau,0.08625
5235,Lido Beach,8.95,NY,11561,Nassau,0.08625
5236,Lynbrook,7.5,NY,11563,Nassau,0.08625
5237,Lynbrook,7.5,NY,11564,Nassau,0.08625
5238,Malverne,6.5,NY,11565,Nassau,0.08625
5239,Merrick,7.5,NY,11566,Nassau,0.08625
5240,North Merrick,7.5,NY,11566,Nassau,0.08625
5241,Old Westbury,7.95,NY,11568,Nassau,0.08625
5242,Westbury,7.5,NY,11568,Nassau,0.08625
5243,Point Lookout,8.95,NY,11569,Nassau,0.08625
5244,Rockville Centre,6.95,NY,11570,Nassau,0.08625
5245,Rockville Centre,6.95,NY,11571,Nassau,0.08625
5246,Oceanside,7.5,NY,11572,Nassau,0.08625
5247,Rockville Centre,6.95,NY,11572,Nassau,0.08625
5248,Roosevelt,7.5,NY,11575,Nassau,0.08625
5249,Roslyn,6.95,NY,11576,Nassau,0.08625
5250,Roslyn Harbor,6.95,NY,11576,Nassau,0.08625
5251,East Hills,7.5,NY,11576,Nassau,0.08625
5252,Roslyn Estates,6.95,NY,11576,Nassau,0.08625
5253,Searingtown,7.95,NY,11576,Nassau,0.08625
5254,Roslyn Heights,6.95,NY,11577,Nassau,0.08625
5255,Sea Cliff,8.95,NY,11579,Nassau,0.08625
5256,Valley Stream,7.5,NY,11580,Nassau,0.08625
5257,Valley Stream,7.5,NY,11581,Nassau,0.08625
5258,North Woodmere,7.5,NY,11581,Nassau,0.08625
5259,Green Acres,7.5,NY,11581,Nassau,0.08625
5260,Gibson,8.95,NY,11581,Nassau,0.08625
5261,Valley Stream,7.5,NY,11582,Nassau,0.08625
5262,Valley Stream,7.5,NY,11583,Nassau,0.08625
5263,Uniondale,7.5,NY,11588,Nassau,0.08625
5264,Westbury,7.5,NY,11590,Nassau,0.08625
5265,Rockville Centre,6.95,NY,11592,Nassau,0.08625
5266,Westbury,7.5,NY,11593,Nassau,0.08625
5267,Westbury,7.5,NY,11594,Nassau,0.08625
5268,Westbury,7.5,NY,11595,Nassau,0.08625
5269,Williston Park,5.95,NY,11596,Nassau,0.08625
5270,East Williston,5,NY,11596,Nassau,0.08625
5271,Westbury,7.5,NY,11597,Nassau,0.08625
5272,Woodmere,7.95,NY,11598,Nassau,0.08625
5273,Garden City,5,NY,11599,Nassau,0.08625
5274,Far Rockaway,7.5,NY,11690,Queens,0.08375
5275,Edgemere,7.5,NY,11690,Queens,0.08375
5276,Far Rockaway,7.5,NY,11691,Queens,0.08375
5277,Far Rockaway,7.5,NY,11692,Queens,0.08375
5278,Far Rockaway,7.5,NY,11693,Queens,0.08375
5279,Far Rockaway,7.5,NY,11694,Queens,0.08375
5280,Rockaway Park,7.5,NY,11694,Queens,0.08375
5281,Neponsit,7.5,NY,11694,Queens,0.08375
52166,Belle Harbor,S,NY,11694,Queens,0.08375
5282,Far Rockaway,7.5,NY,11695,Queens,0.08375
5283,Inwood,7.5,NY,11696,Queens,0.08375
5284,Far Rockaway,7.5,NY,11697,Queens,0.08375
5285,Breezy Point,7.5,NY,11697,Queens,0.08375
5286,Amityville,10,NY,11701,Suffolk,0.08625
5287,North Amityville,10,NY,11701,Suffolk,0.08625
5288,Amity Harbor,10,NY,11701,Suffolk,0.08625
5289,Bristol,S,NY,11701,Suffolk,0.08625
5290,Babylon,10,NY,11702,Suffolk,0.08625
5291,Oak Beach,S,NY,11702,Suffolk,0.08625
5292,West Gilgo Beach,S,NY,11702,Suffolk,0.08625
5293,Gilgo Beach,S,NY,11702,Suffolk,0.08625
5294,North Babylon,12,NY,11703,Suffolk,0.08625
5295,Babylon,10,NY,11703,Suffolk,0.08625
5296,West Babylon,12,NY,11704,Suffolk,0.08625
5297,Babylon,10,NY,11704,Suffolk,0.08625
5298,Bayport,13.95,NY,11705,Suffolk,0.08625
5299,Bay Shore,12,NY,11706,Suffolk,0.08625
5300,Fire Island,S,NY,11706,Suffolk,0.08625
5301,Fair Harbor,S,NY,11706,Suffolk,0.08625
5302,Kismet,S,NY,11706,Suffolk,0.08625
5303,Ocean Bay Park,S,NY,11706,Suffolk,0.08625
5304,Lonelyville,S,NY,11706,Suffolk,0.08625
5305,Seaview,S,NY,11706,Suffolk,0.08625
5306,Saltaire,S,NY,11706,Suffolk,0.08625
5307,West Babylon,12,NY,11707,Suffolk,0.08625
5308,Babylon,10,NY,11707,Suffolk,0.08625
5309,Amityville,10,NY,11708,Suffolk,0.08625
5310,Bayville,9.95,NY,11709,Nassau,0.08625
5311,Bellmore,7.95,NY,11710,Nassau,0.08625
5312,North Bellmore,7.5,NY,11710,Nassau,0.08625
5313,Bellport,13.95,NY,11713,Suffolk,0.08625
5314,Hagerman,S,NY,11713,Suffolk,0.08625
5315,Bethpage,7.5,NY,11714,Nassau,0.08625
5316,Blue Point,13.95,NY,11715,Suffolk,0.08625
5317,Bohemia,13.95,NY,11716,Suffolk,0.08625
5318,Brentwood,12,NY,11717,Suffolk,0.08625
5319,West Brentwood,12,NY,11717,Suffolk,0.08625
5320,Edgewood,S,NY,11717,Suffolk,0.08625
5321,Brightwaters,12,NY,11718,Suffolk,0.08625
5322,Brookhaven,13.95,NY,11719,Suffolk,0.08625
5323,Centereach,13.95,NY,11720,Suffolk,0.08625
5324,South Setauket,13.95,NY,11720,Suffolk,0.08625
5325,Centerport,12.95,NY,11721,Suffolk,0.08625
5326,Central Islip,12,NY,11722,Suffolk,0.08625
5327,Islandia,12,NY,11722,Suffolk,0.08625
5328,Cold Spring Harbor,12,NY,11724,Suffolk,0.08625
5329,Laurel Hollow,9,NY,11724,Suffolk,0.08625
5330,Commack,12,NY,11725,Suffolk,0.08625
5331,Copiague,12,NY,11726,Suffolk,0.08625
5332,Coram,13.95,NY,11727,Suffolk,0.08625
5333,Deer Park,12,NY,11729,Suffolk,0.08625
5334,East Islip,12,NY,11730,Suffolk,0.08625
5335,East Northport,12,NY,11731,Suffolk,0.08625
5336,Elwood,12,NY,11731,Suffolk,0.08625
5337,East Norwich,7.5,NY,11732,Nassau,0.08625
5338,East Setauket,13.95,NY,11733,Suffolk,0.08625
5339,Setauket,13.95,NY,11733,Suffolk,0.08625
5340,Old Field,S,NY,11733,Suffolk,0.08625
5341,Farmingdale,9.95,NY,11735,Nassau,0.08625
5342,South Farmingdale,9.95,NY,11735,Nassau,0.08625
5343,East Farmingdale,9.95,NY,11735,Nassau,0.08625
5344,Farmingdale,9.95,NY,11736,Nassau,0.08625
5345,Farmingdale,9.95,NY,11737,Nassau,0.08625
5346,Farmingville,13.95,NY,11738,Suffolk,0.08625
5347,Great River,13.95,NY,11739,Suffolk,0.08625
5348,Greenlawn,12,NY,11740,Suffolk,0.08625
5349,Holbrook,13.95,NY,11741,Suffolk,0.08625
5350,Holtsville,13.95,NY,11742,Suffolk,0.08625
5351,Huntington,12,NY,11743,Suffolk,0.08625
5352,Lloyd Harbor,S,NY,11743,Suffolk,0.08625
5353,Halesite,S,NY,11743,Suffolk,0.08625
5354,Huntington Bay,12,NY,11743,Suffolk,0.08625
5355,Cold Spring Hills,12,NY,11743,Suffolk,0.08625
5356,East Huntington,12,NY,11743,Suffolk,0.08625
5357,Smithtown,12.95,NY,11745,Suffolk,0.08625
5358,Huntington Station,12,NY,11746,Suffolk,0.08625
5359,Dix Hills,12,NY,11746,Suffolk,0.08625
5360,Melville,10,NY,11747,Suffolk,0.08625
5361,Huntington Station,12,NY,11747,Suffolk,0.08625
5362,Farmingville,13.95,NY,11749,Suffolk,0.08625
52157,Islandia,S,NY,11749,Suffolk,0.08625
5363,Huntington Station,12,NY,11750,Suffolk,0.08625
5364,Islip,12,NY,11751,Suffolk,0.08625
5365,Islip Terrace,12,NY,11752,Suffolk,0.08625
5366,Jericho,7.5,NY,11753,Nassau,0.08625
5367,Kings Park,13.95,NY,11754,Suffolk,0.08625
5368,Lake Grove,13.95,NY,11755,Suffolk,0.08625
5369,Levittown,7.5,NY,11756,Nassau,0.08625
5370,Plainedge,7.95,NY,11756,Nassau,0.08625
5371,Lindenhurst,12,NY,11757,Suffolk,0.08625
5372,North Lindenhurst,12,NY,11757,Suffolk,0.08625
5373,Massapequa,7.95,NY,11758,Nassau,0.08625
5374,North Massapequa,7.95,NY,11758,Nassau,0.08625
5375,East Massapequa,7.95,NY,11758,Nassau,0.08625
5376,Hauppauge,12,NY,11760,Suffolk,0.08625
5377,Massapequa Park,7.95,NY,11762,Nassau,0.08625
5378,Medford,13.95,NY,11763,Suffolk,0.08625
5379,Gordon Heights,S,NY,11763,Suffolk,0.08625
5380,Miller Place,13.95,NY,11764,Suffolk,0.08625
5381,Mill Neck,7.5,NY,11765,Nassau,0.08625
5382,Mount Sinai,13.95,NY,11766,Suffolk,0.08625
5383,Nesconset,13.95,NY,11767,Suffolk,0.08625
5384,Northport,12.95,NY,11768,Suffolk,0.08625
5385,Fort Salonga,13.95,NY,11768,Suffolk,0.08625
5386,Oakdale,13.95,NY,11769,Suffolk,0.08625
5387,Ocean Beach,S,NY,11770,Suffolk,0.08625
5388,Seaview,S,NY,11770,Suffolk,0.08625
5389,Robbins Rest,S,NY,11770,Suffolk,0.08625
5390,Oyster Bay,8.95,NY,11771,Nassau,0.08625
5391,Oyster Bay Cove,8.95,NY,11771,Nassau,0.08625
5392,Upper Brookville,8.95,NY,11771,Nassau,0.08625
5393,Muttontown,8.95,NY,11771,Nassau,0.08625
5394,Patchogue,13.95,NY,11772,Suffolk,0.08625
5395,East Patchogue,13.95,NY,11772,Suffolk,0.08625
5396,Davis Park,12,NY,11772,Suffolk,0.08625
5397,Water Island,S,NY,11772,Suffolk,0.08625
5398,Syosset,7.95,NY,11773,Nassau,0.08625
5399,Farmingdale,9.95,NY,11774,Nassau,0.08625
5400,Melville,10,NY,11775,Suffolk,0.08625
5401,Port Jefferson Station,13.95,NY,11776,Suffolk,0.08625
5402,Terryville,S,NY,11776,Suffolk,0.08625
5403,Port Jefferson,13.95,NY,11777,Suffolk,0.08625
5404,Belle Terre,S,NY,11777,Suffolk,0.08625
5405,Port Jefferson Station,13.95,NY,11777,Suffolk,0.08625
52097,New york,13.95,NY,11777,Suffolk,0.08625
5406,Rocky Point,S,NY,11778,Suffolk,0.08625
5407,Ronkonkoma,13.95,NY,11779,Suffolk,0.08625
5408,Lake Ronkonkoma,13.95,NY,11779,Suffolk,0.08625
5409,Saint James,13.95,NY,11780,Suffolk,0.08625
5410,Nissequogue,S,NY,11780,Suffolk,0.08625
5411,Sayville,13.95,NY,11782,Suffolk,0.08625
5412,Fire Island Pines,S,NY,11782,Suffolk,0.08625
5413,Cherry Grove,S,NY,11782,Suffolk,0.08625
5414,Seaford,7.95,NY,11783,Nassau,0.08625
5415,North Seaford,7.95,NY,11783,Nassau,0.08625
5416,Selden,13.95,NY,11784,Suffolk,0.08625
5417,Shoreham,S,NY,11786,Suffolk,0.08625
5418,Smithtown,12.95,NY,11787,Suffolk,0.08625
5419,Hauppauge,12,NY,11788,Suffolk,0.08625
5420,Smithtown,12.95,NY,11788,Suffolk,0.08625
5421,Sound Beach,S,NY,11789,Suffolk,0.08625
5422,Stony Brook,13.95,NY,11790,Suffolk,0.08625
5423,Syosset,7.95,NY,11791,Nassau,0.08625
5424,Wading River,S,NY,11792,Suffolk,0.08625
5425,Wildwood,S,NY,11792,Suffolk,0.08625
5426,Wantagh,7.5,NY,11793,Nassau,0.08625
5427,Stony Brook,13.95,NY,11794,Suffolk,0.08625
5428,West Islip,12,NY,11795,Suffolk,0.08625
5429,West Sayville,13.95,NY,11796,Suffolk,0.08625
5430,Woodbury,7.95,NY,11797,Nassau,0.08625
5431,Wyandanch,12,NY,11798,Suffolk,0.08625
5432,Wheatley Heights,12,NY,11798,Suffolk,0.08625
5433,West Deer Park,12,NY,11798,Suffolk,0.08625
5434,Hicksville,7.5,NY,11801,Nassau,0.08625
5435,Hicksville,7.5,NY,11802,Nassau,0.08625
5436,Plainview,7.95,NY,11803,Nassau,0.08625
5437,Hicksville,7.5,NY,11803,Nassau,0.08625
5438,Old Bethpage,7.95,NY,11804,Nassau,0.08625
5439,Hicksville,7.5,NY,11804,Nassau,0.08625
5440,Hicksville,7.5,NY,11805,Nassau,0.08625
5441,Hicksville,7.5,NY,11815,Nassau,0.08625
5442,Hicksville,7.5,NY,11819,Nassau,0.08625
5443,Jericho,7.5,NY,11853,Nassau,0.08625
5444,Hicksville,7.5,NY,11854,Nassau,0.08625
5445,Hicksville,7.5,NY,11855,Nassau,0.08625
5446,Riverhead,S,NY,11901,Suffolk,0.08625
5447,Flanders,S,NY,11901,Suffolk,0.08625
5448,Northampton,S,NY,11901,Suffolk,0.0875
5449,Amagansett,S,NY,11930,Suffolk,0.08625
5450,Aquebogue,S,NY,11931,Suffolk,0.08625
5451,Bridgehampton,S,NY,11932,Suffolk,0.08625
5452,Calverton,S,NY,11933,Suffolk,0.08625
5453,Baiting Hollow,S,NY,11933,Suffolk,0.08625
5454,Center Moriches,S,NY,11934,Suffolk,0.08625
5455,Cutchogue,S,NY,11935,Suffolk,0.08625
5456,Nassau Point,S,NY,11935,Suffolk,0.08625
5457,East Hampton,S,NY,11937,Suffolk,0.08625
5458,Springs,S,NY,11937,Suffolk,0.08625
5459,East Marion,S,NY,11939,Suffolk,0.08625
5460,East Moriches,S,NY,11940,Suffolk,0.08625
5461,Eastport,S,NY,11941,Suffolk,0.08625
5462,East Quogue,S,NY,11942,Suffolk,0.08625
5463,Greenport,S,NY,11944,Suffolk,0.08625
5464,Hampton Bays,S,NY,11946,Suffolk,0.08625
5465,Shinnecock Hills,S,NY,11946,Suffolk,0.08625
5466,Ponquogue,S,NY,11946,Suffolk,0.08625
5467,Jamesport,S,NY,11947,Suffolk,0.08625
5468,Laurel,S,NY,11948,Suffolk,0.08625
5469,Manorville,S,NY,11949,Suffolk,0.08625
5470,Mastic,S,NY,11950,Suffolk,0.08625
5471,Atlantic,S,NY,11950,Suffolk,0.08625
5472,Mastic Beach,S,NY,11951,Suffolk,0.08625
5473,Mattituck,S,NY,11952,Suffolk,0.08625
5474,Middle Island,13.95,NY,11953,Suffolk,0.08625
5475,Montauk,S,NY,11954,Suffolk,0.08625
5476,Moriches,S,NY,11955,Suffolk,0.08625
5477,New Suffolk,S,NY,11956,Suffolk,0.08625
5478,Orient,S,NY,11957,Suffolk,0.08625
5479,Orient Point,S,NY,11957,Suffolk,0.08625
5480,Peconic,S,NY,11958,Suffolk,0.08625
5481,Quogue,S,NY,11959,Suffolk,0.08625
5482,Remsenburg,S,NY,11960,Suffolk,0.08625
5483,Ridge,13.95,NY,11961,Suffolk,0.08625
5484,Lake Panamoka,S,NY,11961,Suffolk,0.08625
5485,Sagaponack,S,NY,11962,Suffolk,0.08625
5486,Sag Harbor,S,NY,11963,Suffolk,0.08625
5487,North Haven,S,NY,11963,Suffolk,0.08625
5488,Shelter Island,S,NY,11964,Suffolk,0.08625
5489,Shelter Island Heights,S,NY,11965,Suffolk,0.08625
5490,Shirley,S,NY,11967,Suffolk,0.08625
52174,east yaphank,S,ny,11967,,0.08625
5491,Southampton,S,NY,11968,Suffolk,0.08625
5492,Southampton,S,NY,11969,Suffolk,0.08625
5493,South Jamesport,S,NY,11970,Suffolk,0.08625
5494,Southold,S,NY,11971,Suffolk,0.08625
5495,Speonk,S,NY,11972,Suffolk,0.08625
5496,Upton,S,NY,11973,Suffolk,0.08625
5497,Wainscott,S,NY,11975,Suffolk,0.08625
5498,Water Mill,S,NY,11976,Suffolk,0.08625
5499,Westhampton,S,NY,11977,Suffolk,0.08625
5500,Westhampton Beach,S,NY,11978,Suffolk,0.08625
5501,Yaphank,S,NY,11980,Suffolk,0.08625
52091,floral park,S,NY,11999,Nassau,0.08625
5502,Alcove,S,NY,12007,Albany,0.08
5503,Schenectady,S,NY,12008,Schenectady,0.08
5504,Alplaus,S,NY,12008,Schenectady,0.08
5505,Altamont,S,NY,12009,Albany,0.08
5506,Thompsons Lake,S,NY,12009,Albany,0.08
5507,Amsterdam,S,NY,12010,Montgomery,0.08
5508,West Charlton,S,NY,12010,Montgomery,0.08
5509,Perth,S,NY,12010,Montgomery,0.08
5510,Athens,S,NY,12015,Greene,0.08
5511,Fultonville,S,NY,12016,Montgomery,0.08
5512,Auriesville,S,NY,12016,Montgomery,0.08
5513,Austerlitz,S,NY,12017,Columbia,0.08
5514,Averill Park,S,NY,12018,Rensselaer,0.08
5515,Burden Lake,S,NY,12018,Rensselaer,0.08
5516,East Poestenkill,S,NY,12018,Rensselaer,0.08
5517,Glass Lake,S,NY,12018,Rensselaer,0.08
5518,Dunham Hollow,S,NY,12018,Rensselaer,0.08
5519,Ballston Lake,S,NY,12019,Saratoga,0.07
5520,Charlton,S,NY,12019,Saratoga,0.07
5521,Burnt Hills,S,NY,12019,Saratoga,0.07
5522,Ballston Spa,S,NY,12020,Saratoga,0.07
5523,Maltaville,S,NY,12020,Saratoga,0.07
5524,West Milton,S,NY,12020,Saratoga,0.07
5525,Malta Ridge,S,NY,12020,Saratoga,0.07
5526,Berlin,S,NY,12022,Rensselaer,0.08
5527,Berne,S,NY,12023,Albany,0.08
5528,West Berne,S,NY,12023,Albany,0.08
5529,Brainard,S,NY,12024,Rensselaer,0.08
5530,Broadalbin,S,NY,12025,Fulton,0.07
5531,Galway Lake,S,NY,12025,Fulton,0.07
5532,Fish House,S,NY,12025,Fulton,0.07
